Date,Open,High,Low,Volume
2018-04-23,8855.0,8991.0,8754.01,8542.91704727
2018-04-22,1134.0,1259.59,1110.0,32437.2345992
2018-04-21,8857.84,9038.87,8610.7,12619.40378498
2018-04-20,8259.99,8932.57,8216.21,15748.32664498
2018-04-19,8151.54,8300.0,8101.47,12050.27916373
2018-04-18,7897.5,8243.99,7867.5,10850.58190857
2018-04-17,759.0,786.65,750.81,8848.08267748
2018-04-16,8345.01,8398.98,7905.99,13400.54394011
2018-04-15,745.37,785.0,736.0,7319.98761553
2018-04-14,7899.97,8150.0,7830.0,9773.33555641
2018-04-13,726.41,786.0,721.7,15883.97372082
2018-04-12,6915.0,8050.0,6767.77,30226.05781444
2018-04-11,648.53,656.01,646.96,6000.12207924
2018-04-10,6693.0,6893.29,6661.19,7559.36780227
2018-04-09,7020.93,7169.53,6617.0,13763.21275261
2018-04-08,643.75,659.0,636.72,3819.23234454
2018-04-07,6551.02,7064.64,6522.07,10261.86377253
2018-04-06,6819.99,6847.0,6518.88,10925.98676521
2018-04-05,646.0,656.0,620.0,10024.91507055
2018-04-04,7392.47,7430.0,6711.0,15073.68855974
2018-04-03,660.6,723.71,657.13,12045.82227854
2018-04-02,6816.04,7100.0,6762.2,14225.47399331
2018-04-01,6952.5,7044.46,6450.0,15292.44575392
2018-03-31,689.68,738.15,685.0,9700.75205137
2018-03-30,7167.09,7275.35,6600.0,29865.36496852
2018-03-29,7943.0,7960.0,6905.0,27013.93965785
2018-03-28,7969.98,8088.0,7727.76,11800.17010992
2018-03-27,921.0,929.78,877.99,7979.20784765
2018-03-26,8438.69,8498.0,7854.0,18978.01668089
2018-03-25,8622.0,8670.0,8359.45,9286.51863272
2018-03-24,1000.93,1034.4,985.5,5559.04191151
2018-03-23,1009.4,1017.0,958.92,7252.17456747
2018-03-22,8835.89,9073.93,8467.27,14946.35046409
2018-03-21,8944.99,9174.0,8745.0,16134.42096789
2018-03-20,976.24,1071.85,950.0,17094.54073952
2018-03-19,923.28,998.0,912.57,14310.75634689
2018-03-18,8020.01,8302.73,7310.0,29743.58903231
2018-03-17,8494.06,8512.93,7751.0,14061.29301072
2018-03-16,949.99,1059.66,893.49,16359.17745781
2018-03-15,8183.93,8400.0,7666.0,28310.55901158
2018-03-14,1059.01,1071.81,911.88,11355.83068571
2018-03-13,9042.38,9472.88,8855.0,17609.83840017
2018-03-12,9513.86,9890.0,8780.49,21732.37191473
2018-03-11,8851.01,9760.0,8516.0,21118.20817244
2018-03-10,1045.0,1094.55,991.5,7324.53534179
2018-03-09,9270.01,9410.0,8370.0,40711.21985082
2018-03-08,1103.8,1116.99,988.77,10831.03445176
2018-03-07,1210.99,1220.0,1031.07,12906.17354028
2018-03-06,11552.19,11570.0,10565.85,18730.34982669
2018-03-05,1277.5,1287.0,1249.97,4595.59730892
2018-03-04,11375.0,11472.99,11041.0,8440.65909968
2018-03-03,11080.51,11494.57,10952.49,13111.29024401
2018-03-02,10955.0,11149.0,10765.0,14107.7974811
2018-03-01,1212.01,1295.0,1185.28,8450.98995358
2018-02-28,10708.99,11044.0,10393.0,18959.4148443
2018-02-27,10351.0,10845.07,10133.33,17934.60042102
2018-02-26,9670.0,10447.74,9404.0,18913.68753598
2018-02-25,9622.49,9850.0,9324.75,11761.45892712
2018-02-24,1260.0,1297.01,1132.01,8980.48596004
2018-02-23,1205.99,1309.98,1144.04,12853.57557127
2018-02-22,10455.0,10900.0,9715.27,28173.27877166
2018-02-21,11445.87,11453.99,10250.0,33312.95836598
2018-02-20,1518.0,1555.0,1256.0,16715.54305141
2018-02-19,10594.45,11274.11,10297.39,18431.5866764
2018-02-18,1527.72,1644.0,1393.43,17657.25798266
2018-02-17,10199.0,10970.0,10057.0,18411.98240492
2018-02-16,1366.75,1550.0,1354.69,24781.90400989
2018-02-15,9430.0,10249.81,9342.46,32537.87213025
2018-02-14,8535.0,9436.0,8490.0,23595.80409956
2018-02-13,8867.49,8950.0,8393.1,15280.28183186
2018-02-12,8298.24,8883.0,8032.65,19203.47478705
2018-02-11,8560.0,8595.0,7851.0,16330.67018632
2018-02-10,8568.0,9090.0,8155.0,25095.54765461
2018-02-09,8180.0,8700.0,7750.0,27653.33850564
2018-02-08,998.27,1353.29,942.51,34231.1938703
2018-02-07,7647.85,8650.0,7212.82,50674.32371063
2018-02-06,6801.0,7948.89,5873.0,92423.84660196
2018-02-05,8398.15,8425.0,6425.75,57149.56378121
2018-02-04,9109.49,9350.0,7859.0,23764.55520966
2018-02-03,8736.47,9499.0,8115.48,24280.30269982
2018-02-02,1244.59,1270.46,927.04,27862.23344694
2018-02-01,10026.27,10166.25,8400.0,37824.66833595
2018-01-31,1477.94,1515.0,1381.0,16395.49547433
2018-01-30,11025.6,11156.0,9711.11,26566.43166789
2018-01-29,11482.01,11570.0,10840.0,11091.89748446
2018-01-28,1624.98,1717.0,1600.35,25135.03165962
2018-01-27,1551.42,1645.0,1551.42,6746.46827265
2018-01-26,11162.52,11570.0,10305.0,18976.8350162
2018-01-25,11100.01,11690.0,10851.0,13993.87217464
2018-01-24,11047.01,11450.0,10450.0,15462.31430944
2018-01-23,10649.0,11370.0,9945.0,22212.86646778
2018-01-22,11198.01,11849.0,10025.0,23756.03607491
2018-01-21,12809.09,12825.01,11118.0,16211.9757425
2018-01-20,11268.54,12985.55,11265.1,18737.778971
2018-01-19,11332.88,11973.99,11050.0,16407.00992619
2018-01-18,11175.0,12123.1,10687.21,31779.51839468
2018-01-17,11231.24,12358.89,9005.0,64577.81775259
2018-01-16,13817.38,13820.0,9928.62,59963.96634574
2018-01-15,2541.83,2550.0,2375.0,8658.56537214
2018-01-14,2656.83,2711.64,2463.14,8011.02249777
2018-01-13,2589.14,2835.18,2564.69,12524.35602607
2018-01-12,13120.12,14080.83,12900.0,15864.86735645
2018-01-11,14497.0,14970.0,12800.01,28924.0800747
2018-01-10,14442.22,14669.98,13550.01,22303.14828392
2018-01-09,14731.0,15384.0,14230.0,15114.21948897
2018-01-08,2559.01,2559.01,2225.0,15574.62023271
2018-01-07,17012.0,17122.0,15755.01,12528.24640399
2018-01-06,16975.0,17178.0,16251.01,15530.4004536
2018-01-05,15014.99,16991.42,14819.78,21765.32436912
2018-01-04,14865.01,15400.0,14230.0,20163.21571751
2018-01-03,2560.12,2780.0,2519.05,14749.24902323
2018-01-02,2342.09,2696.0,2301.67,16577.28435161
2018-01-01,2402.45,2425.68,2257.01,7389.42278936
2017-12-31,2338.51,2497.99,2207.91,11771.29487215
2017-12-30,2741.0,2818.0,2187.0,17767.69468696
2017-12-29,14107.42,15105.34,14041.81,18255.45016674
2017-12-28,2691.0,2731.0,2303.0,22277.80765468
2017-12-27,2853.02,2948.0,2542.0,17674.60839988
2017-12-26,2834.0,2949.0,2773.88,14870.01262117
2017-12-25,2885.99,2968.16,2761.0,14181.2108665
2017-12-24,3245.03,3279.85,2669.0,32642.15605857
2017-12-23,3069.0,3499.77,2555.0,73852.53181367
2017-12-22,15762.04,15974.95,10400.0,99652.13942837
2017-12-21,3825.9,3849.93,2910.0,79134.43565167
2017-12-20,3100.0,9500.0,3100.0,84562.38048077
2017-12-16,17735.0,19597.0,17630.0,23477.04621058
2017-12-15,16749.0,17899.0,16705.01,28611.3799561
2017-12-14,16810.01,17199.6,16256.0,16616.79455327
2017-12-13,17797.99,17900.0,15700.0,32402.04946757
2017-12-12,17070.84,18149.99,16375.0,38766.84451211
2017-12-11,14856.45,17493.0,14850.0,47071.7798039
2017-12-10,15236.96,15960.0,13501.0,46072.26218683
2017-12-07,14327.0,19697.0,13500.0,86811.07002546
2017-12-06,11780.01,14425.0,11713.0,46998.13161436
