date,bitcoin,isPartial
2013-01-06,4,False
2013-01-13,3,False
2013-01-20,4,False
2013-01-27,5,False
2013-02-03,5,False
2013-02-10,6,False
2013-02-17,7,False
2013-02-24,7,False
2013-03-03,10,False
2013-03-10,10,False
2013-03-17,16,False
2013-03-24,26,False
2013-03-31,42,False
2013-04-07,81,False
2013-04-14,42,False
2013-04-21,25,False
2013-04-28,23,False
2013-05-05,19,False
2013-05-12,18,False
2013-05-19,16,False
2013-05-26,15,False
2013-06-02,12,False
2013-06-09,13,False
2013-06-16,10,False
2013-06-23,11,False
2013-06-30,15,False
2013-07-07,12,False
2013-07-14,9,False
2013-07-21,10,False
2013-07-28,11,False
2013-08-04,11,False
2013-08-11,12,False
2013-08-18,13,False
2013-08-25,11,False
2013-09-01,10,False
2013-09-08,9,False
2013-09-15,9,False
2013-09-22,9,False
2013-09-29,18,False
2013-10-06,13,False
2013-10-13,12,False
2013-10-20,15,False
2013-10-27,36,False
2013-11-03,35,False
2013-11-10,37,False
2013-11-17,86,False
2013-11-24,100,False
2013-12-01,100,False
2013-12-08,72,False
2013-12-15,74,False
2013-12-22,50,False
2013-12-29,41,False
