Date,Open,High,Low,Volume
2018-04-23,630.93,647.47,616.88,101169.44201323
2018-04-22,603.24,643.47,590.7,84994.96814536
2018-04-21,615.63,624.21,571.61,110771.97400777
2018-04-20,560.83,622.22,557.4,186576.44328884
2018-04-19,522.42,565.56,521.18,129978.20833457
2018-04-18,503.71,526.05,500.5,97805.92990427
2018-04-17,506.63,522.0,500.49,99460.75292161
2018-04-16,528.9,537.5,498.29,132249.83865872
2018-04-12,423.1,492.0,413.81,245904.47966413
2018-04-11,410.72,424.94,409.81,81481.36279514
2018-04-10,392.45,418.26,392.25,70025.58750856
2018-04-09,399.78,432.0,388.0,129292.71878025
2018-04-08,385.57,404.4,383.54,70886.14263432
2018-04-06,383.85,386.21,363.33,100399.55957244
2018-04-05,376.31,387.2,366.54,90003.11826583
2018-04-04,412.99,418.0,370.08,120980.22002803
2018-04-03,382.97,421.59,380.89,165430.24580794
2018-04-02,377.6,393.96,375.36,90826.87620851
2018-04-01,396.41,400.65,360.0,111088.54789306
2018-03-31,387.09,438.77,385.01,160223.23921591
2018-03-30,389.26,411.0,365.0,294859.12030137
2018-03-29,445.59,448.0,379.1,280778.62573248
2018-03-28,459.86,464.89,439.18,102668.65383944
2018-03-27,493.81,497.62,445.0,159124.20893342
2018-03-26,524.73,525.88,466.1,149630.63290939
2018-03-23,537.8,543.87,507.84,86309.55520513
2018-03-22,555.51,578.73,517.6,97192.545863
2018-03-19,531.03,560.9,516.4,188295.35204085
2018-03-17,610.72,611.49,541.11,105622.85537886
2018-03-16,614.0,626.13,585.0,85436.93857777
2018-03-15,602.27,621.47,571.16,153217.93533022
2018-03-14,688.93,702.5,585.52,147123.54492016
2018-03-12,721.01,739.0,678.0,75637.78267318
2018-03-07,818.14,825.0,724.0,135800.75334434
2018-03-06,853.79,854.5,800.89,62467.7746918
2018-03-05,860.0,866.0,850.0,43910.6391618
2018-03-02,869.39,873.12,845.85,45578.92789866
2018-02-28,876.7,887.5,856.32,57457.08907184
2018-02-27,868.23,894.0,860.5,64325.33475847
2018-02-26,845.31,877.5,835.0,68241.38106296
2018-02-25,831.0,849.26,816.89,38972.53888741
2018-02-23,807.3,883.89,786.0,104505.53056621
2018-02-22,840.5,870.0,790.01,105798.69553876
2018-02-21,892.3,908.17,817.01,150081.16262831
2018-02-20,936.0,958.0,881.0,105126.86722504
2018-02-15,920.79,948.23,905.49,141983.63211174
2018-02-14,838.95,924.7,838.03,170808.92473018
2018-02-13,866.49,872.85,826.0,75598.12899642
2018-02-12,833.0,874.03,809.0,95404.03969528
2018-02-11,853.5,855.0,780.0,98729.62652094
2018-02-10,863.89,908.76,815.0,164741.22163022
2018-02-09,808.0,879.2,780.0,165228.55012552
2018-02-08,794.0,843.0,740.0,224754.53515242
2018-02-07,772.5,864.68,718.03,338769.89553891
2018-02-06,690.4,807.5,555.56,770201.67129492
2018-02-05,845.0,857.5,614.02,596711.99279122
2018-02-04,959.99,970.4,783.27,214603.39504203
2018-02-03,906.0,998.0,841.61,208364.60661402
2018-02-02,997.99,1029.95,726.43,585666.83767743
2018-02-01,1093.0,1143.0,930.0,341694.17082376
2018-01-31,1076.9,1121.03,1013.25,179921.59338236
2018-01-30,1150.54,1171.0,1025.0,238711.97238822
2018-01-29,1209.41,1221.74,1137.2,134352.46305329
2018-01-28,1108.0,1224.0,1081.05,183083.77630952
2018-01-27,1026.32,1119.0,1025.78,115183.39490828
2018-01-26,1054.03,1071.75,987.54,146124.86933939
2018-01-25,1033.28,1098.74,1014.88,173555.93776909
2018-01-24,1003.0,1051.94,952.0,157765.77623635
2018-01-23,987.99,1019.0,905.0,216450.71977161
2018-01-22,1014.99,1080.0,917.0,215556.51673917
2018-01-19,1022.51,1093.0,993.4,173858.27015257
2018-01-18,1005.0,1100.0,951.0,381271.97362115
2018-01-17,1036.0,1165.0,757.0,856272.68781505
2018-01-16,1303.28,1303.35,852.0,643591.49382289
2018-01-15,1347.6,1380.97,1281.1,127843.25011819
2018-01-14,1392.24,1393.12,1256.01,148745.43450666
2018-01-13,1245.0,1419.96,1241.27,198244.82106366
2018-01-12,1128.78,1285.0,1083.97,233329.93587302
2018-01-11,1243.04,1335.0,1100.0,400903.59000848
2018-01-10,1263.71,1386.99,1207.61,386627.60276359
2018-01-09,1138.01,1297.0,1110.0,275011.9642839
2018-01-08,1090.43,1228.99,950.0,389473.64941919
2018-01-07,1003.78,1098.87,1002.38,171075.62472466
2018-01-06,953.44,1009.11,950.0,130822.00561227
2018-01-05,948.04,1015.0,935.0,274448.10000892
2018-01-04,942.01,994.89,906.01,329734.25570918
2018-01-03,860.0,947.0,850.11,294571.21792264
2018-01-02,754.39,878.5,753.04,363103.15782267
2018-01-01,743.01,764.97,727.14,87316.1981034
2017-12-31,721.99,751.0,699.0,88932.46963428
2017-12-30,745.04,749.95,691.1,137216.11439744
2017-12-29,711.77,755.0,710.11,153760.5744247
2017-12-28,737.54,743.94,676.03,184002.21485272
2017-12-27,745.4,767.0,706.0,127176.57079401
2017-12-26,741.99,771.0,738.07,99971.04792676
2017-12-25,686.0,759.88,685.0,127699.45883727
2017-12-24,746.4,750.0,641.14,181552.44936413
2017-12-23,732.0,774.99,650.4,229032.46668192
2017-12-22,796.57,799.95,460.0,808884.98517222
2017-12-20,815.08,833.6,701.0,345239.94102972
2017-12-19,784.06,875.0,770.03,435664.30323069
2017-12-18,737.16,798.81,695.0,315732.44093923
2017-12-17,695.12,746.93,694.12,161888.15237115
2017-12-16,690.3,735.0,680.0,202953.661804
2017-12-15,697.41,706.0,618.0,314502.08730741
2017-12-14,704.06,758.61,660.83,432122.16802867
2017-12-13,649.2,784.77,606.0,871927.35719222
2017-12-12,481.99,649.2,481.5,877755.74511531
2017-12-11,445.21,487.34,440.44,219868.90720998
2017-12-10,482.02,488.04,438.0,210248.85628452
2017-12-09,464.74,535.1,450.0,546017.97755483
2017-12-07,432.06,448.89,415.01,338907.79002372
2017-12-06,459.19,461.99,425.01,333709.61834048
2017-12-05,465.7,470.0,451.56,154279.99144954
2017-12-04,465.8,473.0,449.4,137142.25106504
2017-12-03,461.27,483.61,450.0,165477.42116192
